,phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
0,6610340,https://brf-sa-sadia.com/,http://www.phishtank.com/phish_detail.php?phish_id=6610340,2020-06-03T15:07:12+00:00,yes,2020-06-03T15:08:33+00:00,yes,Other
1,6610017,https://pexene.com/Payment/NOTEPURE/uh/No_cap/FBG/,http://www.phishtank.com/phish_detail.php?phish_id=6610017,2020-06-03T12:27:25+00:00,yes,2020-06-03T14:12:22+00:00,yes,Other
2,6610003,https://facebouk.site,http://www.phishtank.com/phish_detail.php?phish_id=6610003,2020-06-03T12:02:50+00:00,yes,2020-06-03T15:08:34+00:00,yes,Other
3,6610001,https://vousaveznouveauxmmsn1.webnode.pt/contacto/,http://www.phishtank.com/phish_detail.php?phish_id=6610001,2020-06-03T11:55:56+00:00,yes,2020-06-03T15:08:34+00:00,yes,Other
4,6609999,http://amz-limited.000webhostapp.com/,http://www.phishtank.com/phish_detail.php?phish_id=6609999,2020-06-03T11:54:44+00:00,yes,2020-06-03T15:07:27+00:00,yes,Other
5,6609998,http://limbic-teachings.000webhostapp.com/login.php,http://www.phishtank.com/phish_detail.php?phish_id=6609998,2020-06-03T11:54:09+00:00,yes,2020-06-03T15:07:27+00:00,yes,Other
6,6609997,http://limbic-teachings.000webhostapp.com/,http://www.phishtank.com/phish_detail.php?phish_id=6609997,2020-06-03T11:54:08+00:00,yes,2020-06-03T15:07:27+00:00,yes,Other
7,6609995,http://riotgamesfromriotss.000webhostapp.com/icon.html,http://www.phishtank.com/phish_detail.php?phish_id=6609995,2020-06-03T11:52:58+00:00,yes,2020-06-03T15:07:27+00:00,yes,Other
8,6609994,https://www.vodafonesupport.com/,http://www.phishtank.com/phish_detail.php?phish_id=6609994,2020-06-03T11:49:53+00:00,yes,2020-06-03T15:07:27+00:00,yes,Vodafone
9,6609990,https://referralpays.com/canada/taxb/bmo/,http://www.phishtank.com/phish_detail.php?phish_id=6609990,2020-06-03T11:44:11+00:00,yes,2020-06-03T15:06:20+00:00,yes,BMO Financial
10,6609988,https://cccclut2bava.godaddysites.com/,http://www.phishtank.com/phish_detail.php?phish_id=6609988,2020-06-03T11:43:58+00:00,yes,2020-06-03T15:06:20+00:00,yes,Other
